Method name: Clare_Fluorescein_calibration_230919 (Modified),,,,,,,,,,
Application: SparkControl,,,,V2.3,,,,,,
Device: Spark,,,,Serial number: 1806012423,,,,,,
Firmware:,,,,LUM:V5.2.3|ABS:V4.3.2|ABS_MEX:V5.0.7|MTP:V13.1.5|FLUOR:V5.1.3|FLUOR_BOTTOM:V5.0.2|FLUOR_MEM:V5.0.7|FLUOR_MEX:V5.0.7,,,,,,
,,,,,,,,,,
Date:,,,,2019-12-19,,,,,,
Time:,,,,3:00 PM,,,,,,
System,,,,DESKTOP-0KND16G,,,,,,
User,,,,DESKTOP-0KND16G\Barnes Lab,,,,,,
Plate,,,,[GRE96ft] - Greiner 96 Flat Transparent Cat. No.: 655101/655161/655192,,,,,,
Lid lifter,,,,Removable lid,,,,,,
Humidity Cassette,,,,No humidity cassette,,,,,,
Smooth mode,,,,Not selected,,,,,,
,,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,,
Plate,,,,,,,,,,
,Absorbance,,,,,Abs600,,,,
,Absorbance,,,,,Abs700,,,,
,Fluorescence Top Reading,,,,,Gain 40,,,,
,Fluorescence Top Reading,,,,,Gain 50,,,,
,Fluorescence Top Reading,,,,,Gain 60,,,,
,Fluorescence Top Reading,,,,,Gain 70,,,,
,Fluorescence Top Reading,,,,,Gain 80,,,,
,Fluorescence Top Reading,,,,,Gain 90,,,,
,Fluorescence Top Reading,,,,,Gain 100,,,,
,Fluorescence Top Reading,,,,,Gain 110,,,,
,Fluorescence Top Reading,,,,,Gain 120,,,,
,,,,,,,,,,
E11,0.0441,11875,,,,,,,,
E12,0.0402,12079,,,,,,,,
F1,0.6694,14539,,,,,,,,
F2,0.4311,14335,,,,,,,,
F3,0.2781,14131,,,,,,,,
F4,0.1856,13927,,,,,,,,
F5,0.128,13723,,,,,,,,
F6,0.0925,13518,,,,,,,,
F7,0.0718,13314,,,,,,,,
F8,0.059,13110,,,,,,,,
F9,0.0514,12906,,,,,,,,
F10,0.0468,12702,,,,,,,,
F11,0.044,12498,,,,,,,,
F12,0.0397,12293,,,,,,,,
G1,0.6817,14754,,,,,,,,
G2,0.4454,14959,,,,,,,,
G3,0.2792,15163,,,,,,,,
G4,0.1857,15367,,,,,,,,
G5,0.1284,15571,,,,,,,,
G6,0.0928,15775,,,,,,,,
G7,0.0721,15979,,,,,,,,
G8,0.0592,16183,,,,,,,,
G9,0.0514,16387,,,,,,,,
G10,0.0469,16591,,,,,,,,
G11,0.0442,16795,,,,,,,,
G12,0.0408,16999,,,,,,,,
H1,0.697,19457,,,,,,,,
H2,0.4174,19253,,,,,,,,
H3,0.2789,19049,,,,,,,,
H4,0.1885,18845,,,,,,,,
H5,0.1269,18641,,,,,,,,
H6,0.0922,18437,,,,,,,,
H7,0.0719,18233,,,,,,,,
H8,0.0592,18029,,,,,,,,
H9,0.0516,17825,,,,,,,,
H10,0.047,17621,,,,,,,,
H11,0.0483,17417,,,,,,,,
H12,0.0401,17213,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
End Time,,,,2019-12-19 14:46:48,,,,,,
,,,,,,,,,,
Mode,Fluorescence Top Reading,,,,,,,,,
Name,Gain 40,,,,,,,,,
Excitation,,,,Monochromator,,,,,,
Excitation wavelength,,,,488,nm,,,,,
Excitation bandwidth,,,,20,nm,,,,,
Emission,,,,Monochromator,,,,,,
Emission wavelength,,,,530,nm,,,,,
Emission bandwidth,,,,20,nm,,,,,
Gain,,,,40,Manual,,,,,
Mirror,,,,Automatic (Dichroic 510),,,,,,
Number of flashes,,,,30,,,,,,
Integration time,,,,40,µs,,,,,
Lag time,,,,0,µs,,,,,
Settle time,,,,0,ms,,,,,
Z-Position,,,,20000,µm,,,,,
Z-Position mode,,,,Manual,,,,,,
Part of Plate,,,,A1-H12,,,,,,
,,,,,,,,,,
Start Time,,,,2019-12-19 14:47:05,,,,,,
Temperature,,,,28.7,°C,,,,,
,,,,,,,,,,
<>,Value,Time [ms],,,,,,,,
A1,2836,0,,,,,,,,
A2,1493,778,,,,,,,,
A3,749,1445,,,,,,,,
A4,396,2113,,,,,,,,
A5,199,2781,,,,,,,,
A6,98,3449,,,,,,,,
A7,49,4117,,,,,,,,
A8,25,4784,,,,,,,,
A9,13,5452,,,,,,,,
A10,7,6120,,,,,,,,
A11,4,6788,,,,,,,,
A12,0,7457,,,,,,,,
B1,3338,15487,,,,,,,,
B2,1484,14820,,,,,,,,
B3,765,14152,,,,,,,,
B4,387,13484,,,,,,,,
B5,194,12816,,,,,,,,
B6,96,12148,,,,,,,,
B7,48,11480,,,,,,,,
B8,24,10812,,,,,,,,
B9,12,10145,,,,,,,,
B10,6,9477,,,,,,,,
B11,3,8809,,,,,,,,
B12,0,8141,,,,,,,,
C1,2527,16170,,,,,,,,
C2,1523,16838,,,,,,,,
C3,801,17506,,,,,,,,
C4,418,18175,,,,,,,,
C5,217,18843,,,,,,,,
C6,111,19511,,,,,,,,
C7,58,20179,,,,,,,,
C8,29,20846,,,,,,,,
C9,16,21514,,,,,,,,
C10,8,22182,,,,,,,,
C11,5,22850,,,,,,,,
C12,0,23517,,,,,,,,
D1,2881,31551,,,,,,,,
D2,1500,30883,,,,,,,,
D3,762,30215,,,,,,,,
D4,375,29547,,,,,,,,
D5,199,28879,,,,,,,,
D6,98,28211,,,,,,,,
D7,49,27543,,,,,,,,
D8,25,26876,,,,,,,,
D9,13,26205,,,,,,,,
D10,6,25537,,,,,,,,
D11,4,24869,,,,,,,,
D12,0,24201,,,,,,,,
E1,0,32235,,,,,,,,
E2,0,32903,,,,,,,,
E3,0,33571,,,,,,,,
E4,0,34239,,,,,,,,
E5,0,34906,,,,,,,,
E6,0,35574,,,,,,,,
E7,0,36242,,,,,,,,
E8,0,36910,,,,,,,,
E9,0,37579,,,,,,,,
E10,0,38247,,,,,,,,
E11,0,38915,,,,,,,,
E12,0,39583,,,,,,,,
F1,0,47613,,,,,,,,
F2,0,46945,,,,,,,,
F3,0,46278,,,,,,,,
F4,1,45610,,,,,,,,
F5,0,44942,,,,,,,,
F6,0,44274,,,,,,,,
F7,0,43606,,,,,,,,
F8,0,42938,,,,,,,,
F9,0,42270,,,,,,,,
F10,0,41603,,,,,,,,
F11,0,40935,,,,,,,,
F12,0,40267,,,,,,,,
G1,0,48299,,,,,,,,
G2,0,48967,,,,,,,,
G3,0,49635,,,,,,,,
G4,0,50302,,,,,,,,
G5,0,50969,,,,,,,,
G6,0,51637,,,,,,,,
G7,0,52304,,,,,,,,
G8,0,52971,,,,,,,,
G9,0,53639,,,,,,,,
G10,0,54307,,,,,,,,
G11,0,54975,,,,,,,,
G12,0,55643,,,,,,,,
H1,0,63673,,,,,,,,
H2,0,63005,,,,,,,,
H3,0,62337,,,,,,,,
H4,0,61669,,,,,,,,
H5,0,61001,,,,,,,,
H6,0,60333,,,,,,,,
H7,0,59666,,,,,,,,
H8,0,58998,,,,,,,,
